City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,299.24,94,40,4.12,TO,1679771978
1,salalah,17.0151,54.0924,298.56,68,41,1.16,OM,1679772170
2,safford,32.834,-109.7076,289.12,21,0,3.09,US,1679772171
3,cidreira,-30.1811,-50.2056,296.94,87,100,6.49,BR,1679772171
4,kurchum,48.5722,83.6542,271.94,67,72,0.16,KZ,1679772172
5,kapaa,22.0752,-159.319,298.33,81,100,4.63,US,1679772172
6,carahue,-38.7,-73.1667,293.4,37,2,3.82,CL,1679771928
7,bengkulu,-3.8004,102.2655,297.83,90,100,1.92,ID,1679772173
8,mataura,-46.1927,168.8643,287.3,98,99,1.03,NZ,1679772174
9,beloha,-25.1667,45.05,295.23,80,11,8.63,MG,1679772174
10,tuktoyaktuk,69.4541,-133.0374,262.15,85,75,8.23,CA,1679772096
11,freeport,40.6576,-73.5832,279.83,86,100,11.83,US,1679772175
12,rikitea,-23.1203,-134.9692,297.8,85,100,3.97,PF,1679772175
13,longyearbyen,78.2186,15.6401,255.06,60,20,4.63,SJ,1679772115
14,padang,-0.9492,100.3543,297.18,78,100,1.62,ID,1679772176
15,klaksvik,62.2266,-6.589,273.66,61,100,9.83,FO,1679772176
16,ushuaia,-54.8,-68.3,286.94,47,75,6.69,AR,1679772176
17,chokurdakh,70.6333,147.9167,237.69,100,17,1.41,RU,1679772177
18,carbonia,39.1672,8.5222,287.51,80,10,2.09,IT,1679772178
19,puerto ayora,-0.7393,-90.3518,304.13,82,75,3.13,EC,1679771932
20,jalu,29.0331,21.5482,291.03,40,0,5.57,LY,1679772178
21,hithadhoo,-0.6,73.0833,301.11,77,100,3.21,MV,1679771968
22,komsomolskiy,40.4272,71.7189,285.55,58,9,4.12,UZ,1679772179
23,baykit,61.67,96.37,271.42,96,100,3.35,RU,1679772179
24,yumen,40.2833,97.2,277.51,23,0,2.35,CN,1679772180
25,namibe,-15.1961,12.1522,296.92,73,83,4.13,AO,1679772180
26,makakilo city,21.3469,-158.0858,298.4,70,0,4.63,US,1679772180
27,bluff,-46.6,168.3333,287.48,70,100,10.69,NZ,1679772181
28,jamestown,42.097,-79.2353,283.92,95,100,8.75,US,1679772089
29,nokaneng,-19.6667,22.2667,294.9,78,74,2.78,BW,1679772182
30,virginia beach,36.8529,-75.978,298.16,63,100,5.66,US,1679772130
31,shingu,33.7333,135.9833,287.26,93,100,4.2,JP,1679772183
32,yongchang,30.0381,119.7317,279.41,93,100,0.62,CN,1679772183
33,busselton,-33.65,115.3333,291.43,78,100,6.75,AU,1679772184
34,maldonado,-34.6667,-54.9167,293.83,97,100,3.31,UY,1679772132
35,chuy,-33.6971,-53.4616,293.39,96,100,3.49,UY,1679772185
36,carnarvon,-24.8667,113.6333,296.47,79,6,7.23,AU,1679772186
37,dikson,73.5069,80.5464,254.27,98,100,3.08,RU,1679772186
38,nanortalik,60.1432,-45.2371,271.31,76,49,1.35,GL,1679772187
39,vardo,70.3705,31.1107,266.14,68,75,5.14,NO,1679772188
40,camacha,33.0833,-16.3333,289.83,72,40,4.12,PT,1679772189
41,bambous virieux,-20.3428,57.7575,299.29,83,40,2.57,MU,1679772189
42,thompson,55.7435,-97.8558,266.24,53,75,2.06,CA,1679772189
43,kodiak,57.79,-152.4072,276.88,70,75,5.66,US,1679772190
44,inta,66.0317,60.1659,264.57,87,100,3.99,RU,1679772191
45,la ronge,55.1001,-105.2842,268.29,36,75,2.06,CA,1679772191
46,sikonge,-5.6333,32.7667,291.53,91,45,1.42,TZ,1679772192
47,upernavik,72.7868,-56.1549,249.56,87,17,2.53,GL,1679772192
48,manta,-0.95,-80.7333,301.39,71,14,3.01,EC,1679772193
49,san lorenzo,-25.3333,-57.5333,305.7,49,75,3.6,PY,1679772194
50,tasiilaq,65.6145,-37.6368,264.24,92,100,2.68,GL,1679771998
51,port hedland,-20.3167,118.5667,300.18,94,88,2.57,AU,1679772195
52,torbay,47.6666,-52.7314,274.54,96,100,14.4,CA,1679772195
53,albany,42.6001,-73.9662,276.05,88,100,0.89,US,1679771950
54,lebu,-37.6167,-73.65,288.03,68,5,9.78,CL,1679772196
55,esperance,-33.8667,121.9,291.59,89,100,6.27,AU,1679772066
56,mar del plata,-38.0023,-57.5575,298.16,69,75,5.14,AR,1679771921
57,bubaque,11.2833,-15.8333,298.5,73,0,9.47,GW,1679772197
58,salinopolis,-0.6136,-47.3561,300.7,75,20,2.15,BR,1679772198
59,mihalyi,47.5138,17.0951,283.25,61,97,4.22,HU,1679772199
